Decision,Hand Strength,Pot,Already Bet,Call Difference,Players
2,126,2000,875,0,2
4,238,2000,875,0,2
0,13,250,100,0,5
1,12,500,200,50,2
4,124,1800,725,50,2
2,124,2237,725,50,2
0,124,2937,725,50,2
0,8,250,100,0,3
0,407,250,100,0,5
1,13,460,150,60,3
4,13,2150,890,60,2
0,11,250,100,0,3
1,13,450,100,100,6
3,13,2837,512,1263,2
3,513,5200,1675,100,2
2,506,6400,2875,-1100,2
1,13,9450,2875,175,2
0,10,250,100,0,6
3,408,375,200,-75,2
2,110,500,325,-200,2
4,110,500,325,-200,2
4,110,1500,325,-200,2
1,11,300,200,-100,2
2,13,600,300,-100,2
4,126,600,300,-100,2
0,12,670,100,110,6
0,9,250,100,0,6
3,13,400,200,-50,2
2,116,550,350,-200,2
0,6,475,150,75,3
1,12,250,100,0,4
0,12,1462,287,638,2
0,8,250,100,0,6
0,8,1175,150,550,4
1,13,250,100,0,3
4,13,650,225,0,2
1,13,250,100,0,5
0,6,250,100,0,6
0,9,1100,100,550,5
0,13,250,100,0,5
0,7,400,200,-50,2
0,9,250,100,0,3
0,406,250,100,0,5
3,8,350,200,-100,2
2,108,450,300,-200,2
4,108,450,300,-200,2
4,222,675,300,-200,2
3,12,300,200,-100,2
3,12,750,250,150,2
2,413,1050,550,-150,2
3,413,1740,550,140,2
2,413,2430,1240,-550,2
3,413,4220,1240,550,2
2,108,6010,3030,-1240,2
1,108,10898,3030,1858,2
0,406,300,150,-50,3
0,407,460,100,110,6
3,10,375,200,-75,2
2,10,500,325,-200,2
2,11,500,325,-200,2
0,11,875,325,50,2
0,7,250,100,0,3
1,13,250,100,0,5
0,6,250,100,0,6
3,11,450,200,0,2
2,122,650,400,-200,2
2,122,650,400,-200,2
3,122,1250,400,200,2
3,13,300,200,-100,2
4,240,350,250,-150,2
1,11,250,100,0,4
4,11,724,287,0,2
1,13,250,100,0,5
2,102,750,250,0,2
0,102,1026,250,26,2
0,12,375,200,-75,2
0,4,1100,100,550,5
0,7,250,100,0,5
2,5,300,200,-200,2
0,10,400,200,-100,2
0,402,475,100,125,4
0,10,250,100,0,5
1,405,250,100,0,6
3,11,375,200,-75,2
2,12,500,325,-200,2
3,12,1074,325,249,2
2,12,1648,899,-325,2
3,110,500,150,100,3
2,234,700,350,-100,2
2,234,700,350,-100,2
4,234,700,350,-100,2
0,6,500,150,50,4
1,13,460,100,110,6
4,13,1612,571,110,2
3,13,2640,571,110,2
4,13,3290,1221,-540,2
0,10,250,100,0,6
0,410,1250,150,600,4
0,407,250,100,0,4
0,8,250,100,0,6
0,5,460,100,110,4
0,9,250,100,0,5
0,8,550,200,-75,3
1,411,475,150,75,3
4,12,2350,975,75,2
4,12,3450,975,75,2
0,13,250,100,0,4
0,8,250,100,0,6
2,11,300,200,-200,2
3,122,400,200,-100,2
3,122,1100,300,300,2
2,122,1700,900,-300,2
3,13,300,200,-100,2
3,13,750,250,150,2
2,118,1050,550,-150,2
2,118,1050,550,-150,2
2,118,1050,550,-150,2
0,11,250,100,0,4
0,7,250,100,0,6
